Day,Start Time,End Time,Class Name,Location,Instructors,Date 1,Attendance 1,Date 2,Attendance 2,Date 3,Attendance 3,Date 4,Attendance 4,Date 5,Attendance 5
TUESDAY,5:30 pm,6:30 pm,GENTLE YOGA,MB,SANDY P,8/6,12,8/13,12,8/20,12,8/27,15,,
WEDNESDAY,5:30 pm,6:30 pm,ACTIVE YOGA,MB,KIM S,8/7,20,8/14,20,8/21,20,8/28,15,,
THURSDAY,5:30 pm,6:30 pm,GENTLE YOGA,MB,JOAN,8/8,11,8/15,12,8/22,12,8/29,4,,
MONDAY,6:30 pm,7:30 pm,BODYPUMP™,S,JENN W,8/5,20,8/12,26,8/19,19,8/26,20,,
TUESDAY,5:50 pm,6:20 pm,BODYBALANCE™,S,DANIELLE,8/6,8,8/13,7,8/20,5,8/27,8,,
WEDNESDAY,5:45 pm,6:15 pm,LES MILLS CORE™,S,BRENDA,8/7,12,8/14,12,8/21,15,8/28,11,,
THURSDAY,6:30 pm,7:30 pm,BODYPUMP™,S,JENN W,8/8,22,8/15,16,8/22,20,8/29,16,,
MONDAY,6:45 pm,7:30 pm,WERQ™,MB,WENDI,8/5,28,8/12,25,8/19,25,8/26,23,,
TUESDAY,6:30 pm,7:30 pm,BODYPUMP™,S,TAYLOR,8/6,16,8/13,10,8/20,18,8/27,9,,
WEDNESDAY,6:00 pm,7:00 pm,RIDE STRONG,C,KIM K,8/7,8,8/14,13,8/21,14,8/28,12,,
TUESDAY,6:45 pm,7:45 pm,ZUMBA®,MB,NANETTE,8/6,12,8/13,13,8/20,15,8/27,12,,
WEDNESDAY,6:30 pm,7:15 pm,BARRE,S,HEATHER R,8/7,8,8/14,6,8/21,10,8/28,10,,
WEDNESDAY,6:45 pm,7:45 pm,TAI CHI,MB,KELLY,8/7,10,8/14,10,8/21,9,8/28,10,,
