Day,Start Time,End Time,Class Name,Location,Instructors,Date 1,Attendance 1,Date 2,Attendance 2,Date 3,Attendance 3,Date 4,Attendance 4,Date 5,Attendance 5
TUESDAY,9:30 am,10:15 am,AQUA ZUMBA®,EP,MARIBEL,12/3,32,12/10,22,12/24,19,12/31,25,,
WEDNESDAY,9:15 am,10:15 am,GROUP CYCLE,C,MINDY,12/4,34,12/11,34,12/18,32,,,,
THURSDAY,9:30 am,10:15 am,PILATES,MB,LAURIE,12/5,30,12/12,26,12/19,34,12/26,32,,
FRIDAY,9:15 am,10:00 am,CARDIO DANCE,S,CAROL,12/6,39,12/13,43,12/20,52,12/27,39,,
SATURDAY,11:15 am,12:15 pm,ACTIVE YOGA,MB,JULIE,12/7,2,12/14,10,12/21,17,12/28,20,,
SUNDAY,11:30 am,12:30 pm,ZUMBA®,S,MARI|SHELLEY,12/8,27,12/15,27,12/22,23,12/29,25,,
MONDAY,9:15 am,10:15 am,GROUP CYCLE,C,LISA BA,12/9,65,12/16,65,12/23,30,12/30,58,,
TUESDAY,9:30 am,10:15 am,PILATES,MB,LAURIE,12/3,25,12/10,32,12/17,37,12/24,21,12/31,38
WEDNESDAY,9:30 am,10:15 am,AQUAFIT,EP,RON,12/4,51,12/11,57,12/18,44,,,,
THURSDAY,10:00 am,11:00 am,BODYCOMBAT™,S,DANIELLE,12/5,25,12/12,20,12/19,18,12/26,20,,
FRIDAY,9:15 am,10:00 am,LES MILLS RPM™,C,KIM K,12/6,30,12/13,15,12/20,25,12/27,43,,
SATURDAY,11:30 am,12:30 pm,TAI CHI,S,BINH,12/7,20,12/14,20,12/21,20,12/28,20,,
SUNDAY,11:45 am,12:45 pm,BODYCOMBAT™,MB,VANESSA|KRISTA,12/8,7,12/15,8,12/22,8,12/29,5,,
MONDAY,9:30 am,10:15 am,AQUAFIT,EP,RON,12/9,73,12/16,53,12/23,52,12/30,57,,
TUESDAY,10:00 am,11:00 am,BODYCOMBAT™,S,DANIELLE,12/3,24,12/10,25,12/17,28,12/24,28,12/31,38
WEDNESDAY,10:15 am,11:00 am,AQUA IN MOTION,EP,SAM,12/4,15,12/11,10,12/18,8,,,,
THURSDAY,10:15 am,11:00 am,SILVER CYCLE,C,SUNNY,12/5,29,12/12,28,12/19,33,12/26,31,,
FRIDAY,9:30 am,10:15 am,AQUA CIRCUIT,EP,RON,12/6,37,12/13,43,12/20,52,12/27,50,,
MONDAY,10:15 am,11:00 am,AQUA IN MOTION,EP,SAM,12/9,14,12/16,14,12/23,7,12/30,9,,
