Day,Start Time,End Time,Class Name,Location,Instructors,Date 1,Attendance 1,Date 2,Attendance 2,Date 3,Attendance 3,Date 4,Attendance 4,Date 5,Attendance 5
WEDNESDAY,5:30 pm,6:30 pm,ACTIVE YOGA,MB,KIM S,9/4,20,9/11,20,9/18,24,9/25,22,10/2,23
THURSDAY,5:30 pm,6:30 pm,GENTLE YOGA,MB,JOAN,9/5,3,9/12,3,9/19,3,9/26,11,,
FRIDAY,4:30 pm,5:30 pm,POWER YOGA,MB,EVA,9/6,15,9/13,15,9/20,21,9/27,19,,
MONDAY,6:00 pm,7:00 pm,GROUP CYCLE,C,MEREDITH,9/9,12,9/16,15,9/23,13,9/30,6,,
TUESDAY,5:50 pm,6:20 pm,BODYBALANCE™,S,DANIELLE,9/3,8,9/10,8,9/17,8,9/24,7,,
WEDNESDAY,5:45 pm,6:15 pm,LES MILLS CORE™,S,HEATHER R,9/4,12,9/11,12,9/18,12,9/25,12,10/2,12
THURSDAY,6:30 pm,7:30 pm,BODYPUMP™,S,JENN W,9/5,21,9/12,21,9/19,29,9/26,26,10/3,27
MONDAY,6:30 pm,7:30 pm,BODYPUMP™,S,JENN W,9/9,25,9/16,22,9/23,26,9/30,19,,
TUESDAY,6:30 pm,7:30 pm,BODYPUMP™,S,TAYLOR,9/3,22,9/10,22,9/17,25,9/24,20,,
WEDNESDAY,6:00 pm,7:00 pm,RIDE STRONG,C,KIM K,9/4,8,9/11,8,9/18,9,9/25,12,10/2,13
MONDAY,6:45 pm,7:30 pm,WERQ™,MB,WENDI,9/9,25,9/16,25,9/23,25,9/30,25,,
TUESDAY,6:45 pm,7:45 pm,ZUMBA®,MB,NANETTE,9/3,12,9/10,12,9/17,12,9/24,20,,
WEDNESDAY,6:30 pm,7:15 pm,BARRE,S,HEATHER R,9/4,8,9/11,8,9/18,11111111,9/25,12,10/2,8
WEDNESDAY,6:45 pm,7:45 pm,TAI CHI,MB,KELLY,9/4,12,9/11,12,9/18,8,9/25,8,10/2,12
