Day,Start Time,End Time,Class Name,Location,Instructors,Date 1,Attendance 1,Date 2,Attendance 2,Date 3,Attendance 3,Date 4,Attendance 4,Date 5,Attendance 5
THURSDAY,11:05 am,11:35 am,BODYBALANCE™,S,JENN W|JESS G,10/3,5,10/10,7,10/17,8,10/24,6,10/31,6
FRIDAY,10:15 am,11:15 am,ACTIVE YOGA,MB,EVA,10/4,25,10/11,13,10/25,29,,,,
MONDAY,11:00 am,11:45 am,AQUA IN MOTION,EP,JACKIE,10/7,15,10/14,15,,,,,,
WEDNESDAY,11:00 am,11:45 am,AQUA IN MOTION,EP,JACKIE,10/2,11,10/9,12,10/16,12,10/23,8,10/30,6
THURSDAY,11:15 am,12:00 pm,FEELING FIT,FG,HEATHER C,10/3,47,10/10,47,10/17,48,10/24,46,10/31,45
FRIDAY,10:30 am,11:15 am,SILVERSNEAKERS® CLASSIC,FG,TESS|SAM R,10/4,34,,,,,,,,
MONDAY,11:30 am,12:15 pm,SILVERSNEAKERS® CIRCUIT,FG,TESS,10/7,65,10/14,65,10/21,60,10/28,61,,
TUESDAY,4:15 pm,5:15 pm,ACTIVE YOGA,MB,MEGAN,10/1,12,10/8,17,10/15,17,10/22,16,10/29,14
WEDNESDAY,11:30 am,12:15 pm,SILVERSNEAKERS® CIRCUIT,FG,TESS,10/2,72,10/9,65,10/16,65,,,,
THURSDAY,4:15 pm,5:15 pm,BODYBALANCE™,MB,BRENDA,10/3,10,10/10,10,10/17,12,,,,
FRIDAY,11:30 am,12:15 pm,SILVERSNEAKERS® YOGA,FG,TESS,10/4,38,,,,,,,,
MONDAY,4:30 pm,5:30 pm,BODYCOMBAT™,S,SUZANNE,10/7,7,10/14,10,10/21,5,10/28,5,,
TUESDAY,5:00 pm,5:45 pm,BODYCOMBAT™,S,DANIELLE,10/1,15,10/8,16,10/15,16,,,,
WEDNESDAY,4:30 pm,5:30 pm,BODYCOMBAT™,S,KATHY F,10/2,8,10/9,10,10/16,10,,,,
