Day,Start Time,End Time,Class Name,Location,Instructors,Date 1,Attendance 1,Date 2,Attendance 2,Date 3,Attendance 3,Date 4,Attendance 4,Date 5,Attendance 5
MONDAY,5:30 pm,6:30 pm,ACTIVE YOGA,MB,KIM S,11/3,35,11/10,28,11/17,38,11/24,30,,
TUESDAY,6:30 pm,7:30 pm,BODYPUMP™,S,PIERCE,11/4,22,11/11,22,11/18,14,11/25,21,,
WEDNESDAY,5:30 pm,6:30 pm,ACTIVE YOGA,MB,KIM S,11/5,30,11/12,35,11/19,28,11/26,12,,
THURSDAY,6:30 pm,7:30 pm,BODYPUMP™,S,JENN W,11/6,40,11/13,40,11/20,38,11/27,30,,
FRIDAY,5:45 pm,6:45 pm,CARDIO DANCE,MB,BRIT C,11/7,8,11/14,6,11/21,8,11/28,8,,
MONDAY,5:45 pm,6:15 pm,LES MILLS CORE™,S,HEATHER R,11/3,15,11/10,15,11/17,18,11/24,9,,
TUESDAY,6:45 pm,7:45 pm,ZUMBA®,MB,NANETTE,11/4,10,11/11,8,11/18,8,11/25,8,,
WEDNESDAY,5:45 pm,6:15 pm,LES MILLS CORE™,S,HEATHER R,11/5,7,11/12,13,11/19,12,11/26,7,,
MONDAY,6:00 pm,7:00 pm,GROUP CYCLE,C,MEREDITH,11/3,15,11/10,15,11/17,15,11/24,16,,
WEDNESDAY,6:00 pm,7:00 pm,GROUP CYCLE,C,KIM L,11/5,8,11/12,8,11/19,10,11/26,5,,
MONDAY,6:30 pm,7:30 pm,BODYPUMP™,S,JENN W,11/3,29,11/10,21,11/17,39,11/24,22,,
WEDNESDAY,6:30 pm,7:15 pm,BARRE,S,HEATHER R,11/5,8,11/12,8,11/19,12,11/26,8,,
MONDAY,6:45 pm,7:30 pm,WERQ™,MB,WENDI,11/3,10,11/10,3,11/17,3,11/24,3,,
WEDNESDAY,6:45 pm,7:45 pm,TAI CHI,MB,KELLY N,11/5,8,11/12,8,11/19,8,11/26,8,,
MONDAY,7:45 pm,8:15 pm,BODYBALANCE™,S,JENN W,11/3,22,11/10,8,11/17,3,11/24,8,,
