Day,Start Time,End Time,Class Name,Location,Instructors,Date 1,Attendance 1,Date 2,Attendance 2,Date 3,Attendance 3,Date 4,Attendance 4,Date 5,Attendance 5
THURSDAY,8:15 am,9:00 am,BARRE,MB,HEATHER C,5/2,15,5/9,27,5/16,19,5/23,19,5/30,16
FRIDAY,6:00 am,7:00 am,GROUP CYCLE,C,JACKIE P,5/3,5,5/10,5,5/17,12,5/24,13,5/31,6
SATURDAY,9:15 am,10:00 am,STEP-CARDIO,S,FRIEDA,5/4,14,5/11,20,5/18,17,5/25,18,,
SUNDAY,9:15 am,10:15 am,POWER YOGA,MB,EVA,5/5,23,5/12,27,5/19,26,5/26,30,,
MONDAY,9:00 am,10:00 am,ACTIVE YOGA,MB,SUSAN,5/6,16,5/13,14,5/20,28,,,,
TUESDAY,8:35 am,9:20 am,AQUAFIT,EP,CHAR,5/7,33,5/14,35,5/21,32,5/28,30,,
WEDNESDAY,8:15 am,9:00 am,TRX BODY BLAST®,S,CAROL,5/1,15,5/8,15,5/15,12,5/22,12,5/29,17
THURSDAY,8:35 am,9:20 am,AQUAFIT,EP,CHAR,5/2,30,5/9,30,5/16,32,5/23,32,5/30,35
FRIDAY,8:15 am,8:45 am,LES MILLS CORE™,MB,KIM K,5/3,11,5/10,10,5/17,7,5/24,7,5/31,13
SATURDAY,9:00 am,10:00 am,GROUP CYCLE,C,MEGHAN,5/4,30,5/11,33,5/18,38,5/25,29,,
SUNDAY,9:30 am,10:30 am,BODYPUMP™,S,JENN W|ROBERT,5/5,35,5/12,22,5/19,24,5/26,20,,
MONDAY,9:15 am,10:00 am,CARDIO DANCE,S,CAROL,5/6,35,5/13,37,5/20,38,,,,
TUESDAY,9:00 am,9:45 am,BARRE,S,HEATHER C,5/7,27,5/14,36,5/21,27,5/28,32,,
WEDNESDAY,9:00 am,10:00 am,ACTIVE YOGA,MB,JOAN,5/1,15,5/8,22,5/15,28,5/22,18,5/29,20
THURSDAY,9:00 am,9:45 am,CARDIO DANCE,S,LISA B,5/2,15,5/9,15,5/16,15,5/23,16,5/30,18
FRIDAY,8:15 am,9:00 am,TOTAL BODY STRONG,S,CAROL,5/3,35,5/10,32,5/17,25,5/24,30,5/31,32
SATURDAY,10:00 am,11:00 am,BODYCOMBAT™,MB,DANIELLE,5/4,30,5/11,30,5/18,30,5/25,40,,
