Day,Start Time,End Time,Class Name,Location,Instructor 1,Instructor 2,Date 1,Attendance 1,Date 2,Attendance 2,Date 3,Attendance 3,Date 4,Attendance 4,Date 5,Attendance 5
MONDAY,9:30 am,10:15 am,AQUA FIT,EP,RON,,6/2,51,6/9,57,6/16,76,6/23,59,6/30,60
MONDAY,10:15 am,11:00 am,AQUA IN MOTION,EP,SAM,,6/2,9,6/9,20,6/16,21,6/23,10,6/30,15
MONDAY,10:15 am,11:00 am,UPBEAT BARRE™,S,TIA,,6/2,34,6/9,32,6/16,32,6/23,30,6/30,24
MONDAY,10:15 am,11:15 am,BODYBALANCE™,MB,DANIELLE,,6/2,21,6/9,27,6/16,25,6/23,25,6/30,20
MONDAY,10:30 am,11:15 am,SILVERSNEAKERS YOGA,FG,SUSAN,,6/2,80,6/9,80,6/16,80,6/23,80,6/30,80
MONDAY,11:30 am,12:15 pm,SILVERSNEAKERS® CIRCUIT,FG,SAM R,,6/2,67,6/9,70,6/16,70,6/23,70,6/30,70
MONDAY,4:15 pm,5:15 pm,UPBEAT PILATES™,MB,GIL,,6/2,25,6/9,28,6/16,27,6/23,15,6/30,22
MONDAY,4:30 pm,5:30 pm,BODYCOMBAT™,S,HEATHER R,,6/2,5,6/9,11,6/16,6,6/23,10,6/30,10
MONDAY,5:45 pm,6:15 pm,LES MILLS CORE™,S,HEATHER R,,6/2,10,6/9,6,6/16,15,6/23,10,6/30,24
MONDAY,5:30 pm,6:30 pm,ACTIVE YOGA,MB,KIM S,,6/2,25,6/9,28,6/16,24,6/23,24,6/30,15
MONDAY,6:00 pm,7:00 pm,GROUP CYCLE,C,MEREDITH,,6/2,12,6/9,12,6/16,6,6/23,15,6/30,26
MONDAY,6:30 pm,7:30 pm,BODYPUMP™,S,JENN W,,6/2,30,6/9,26,6/16,33,6/23,30,6/30,30
MONDAY,6:45 pm,7:30 pm,WERQ™,MB,WENDI,,6/2,25,6/9,35,6/16,29,6/23,30,6/30,30
TUESDAY,5:15 am,6:15 am,BODYPUMP™,S,MELANIE,,6/3,19,6/10,20,6/17,22,6/24,20,,
TUESDAY,5:30 am,6:00 am,GRIT-CARDIO™,SPC,MIKEY,,6/3,12,6/10,10,6/17,8,6/24,18,,
TUESDAY,5:45 am,6:45 am,GROUP CYCLE,C,KARIN,,6/3,3,6/10,6,6/17,6,6/24,7,,
TUESDAY,8:30 am,9:15 am,CARDIO DANCE,MB,SAM R,,6/3,36,6/10,42,6/17,38,6/24,40,,
TUESDAY,8:35 am,9:20 am,AQUA FIT,EP,CHAR,,6/3,51,6/10,31,6/17,35,6/24,28,,
TUESDAY,9:00 am,9:45 am,UPBEAT BARRE™,S,SARA,,6/3,32,6/10,33,6/17,42,6/24,35,,
TUESDAY,9:15 am,10:00 am,LES MILLS RPM™,C,ADRIANA,,6/3,11,6/10,17,6/17,12,6/24,17,,
TUESDAY,9:30 am,10:15 am,AQUA ZUMBA®,EP,ALISA,,6/3,16,6/10,23,6/17,22,6/24,27,,
TUESDAY,9:30 am,10:15 am,PILATES,MB,LAURIE,,6/3,49,6/10,42,6/17,35,6/24,36,,
TUESDAY,10:00 am,11:00 am,BODYCOMBAT™,S,DANIELLE,,6/3,18,6/10,20,6/17,25,6/24,25,,
TUESDAY,10:30 am,11:15 am,FEELING FIT,FG,SAM R,,6/3,65,6/10,65,6/17,65,6/24,65,,
TUESDAY,11:00 am,12:00 pm,GENTLE YOGA,MB,SUSAN,,6/3,49,6/10,52,6/17,58,6/24,57,,
